bird,session,pair,time,time_diff,resp_RI,resp_RR,reward_RI,reward_RR,time_since_last_reward_RI,time_since_last_reward_RR,visit_lenght_response_RI,visit_lenght_response_RR,responses_before_reward_RI,responses_before_reward_RR,visit_lenght_time_RI,visit_lenght_time_RR
P007,S98,3,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0
P007,S98,3,1637.49,1637.49,1,0,0,0,1637.49,1637.49,0,0,1,0,0.0,0
P007,S98,3,1637.49,0.0,1,0,1,0,0.0,1637.49,1,0,0,0,0.0,0
P007,S98,3,1734.27,96.77999999999997,1,0,0,0,96.77999999999997,1734.27,0,0,1,0,0.0,0
P007,S98,3,1734.27,0.0,1,0,1,0,0.0,1734.27,1,0,0,0,0.0,0
P007,S98,3,1754.38,20.110000000000127,1,0,0,0,20.110000000000127,1754.38,0,0,1,0,0.0,0
P007,S98,3,1758.54,4.1599999999998545,1,0,0,0,24.269999999999982,1758.54,1,0,2,0,4.1599999999998545,0
P007,S98,3,1758.54,0.0,1,0,1,0,0.0,1758.54,2,0,0,0,0.0,0
P007,S98,3,1833.48,74.94000000000005,1,0,0,0,74.94000000000005,1833.48,0,0,1,0,0.0,0
P007,S98,3,1833.48,0.0,1,0,1,0,0.0,1833.48,1,0,0,0,0.0,0
P007,S98,3,1844.08,10.599999999999909,1,0,0,0,10.599999999999909,1844.08,0,0,1,0,0.0,0
P007,S98,3,1844.08,0.0,1,0,1,0,0.0,1844.08,1,0,0,0,0.0,0
P007,S98,3,1849.83,5.75,1,0,0,0,5.75,1849.83,0,0,1,0,0.0,0
P007,S98,3,1849.83,0.0,1,0,1,0,0.0,1849.83,1,0,0,0,0.0,0
P007,S98,3,1860.63,10.800000000000182,1,0,0,0,10.800000000000182,1860.63,0,0,1,0,0.0,0
P007,S98,3,1860.63,0.0,1,0,1,0,0.0,1860.63,1,0,0,0,0.0,0
P007,S98,3,1875.23,14.599999999999909,1,0,0,0,14.599999999999909,1875.23,0,0,1,0,0.0,0
P007,S98,3,1884.68,9.450000000000045,1,0,0,0,24.049999999999955,1884.68,1,0,2,0,9.450000000000045,0
P007,S98,3,1891.25,6.569999999999936,1,0,0,0,30.61999999999989,1891.25,2,0,3,0,16.019999999999982,0
P007,S98,3,1891.25,0.0,1,0,1,0,0.0,1891.25,3,0,0,0,0.0,0
P007,S98,3,1907.44,16.190000000000055,1,0,0,0,16.190000000000055,1907.44,0,0,1,0,0.0,0
P007,S98,3,1909.99,2.5499999999999545,1,0,0,0,18.74000000000001,1909.99,1,0,2,0,2.5499999999999545,0
P007,S98,3,1925.4,15.410000000000082,1,0,0,0,34.15000000000009,1925.4,2,0,3,0,17.960000000000036,0
P007,S98,3,1925.4,0.0,1,0,1,0,0.0,1925.4,3,0,0,0,0.0,0
P007,S98,3,1936.86,11.459999999999809,1,0,0,0,11.459999999999809,1936.86,0,0,1,0,0.0,0
P007,S98,3,1936.86,0.0,1,0,1,0,0.0,1936.86,1,0,0,0,0.0,0
P007,S98,3,1945.65,8.790000000000191,1,0,0,0,8.790000000000191,1945.65,0,0,1,0,0.0,0
P007,S98,3,1947.21,1.5599999999999454,1,0,0,0,10.350000000000136,1947.21,1,0,2,0,1.5599999999999454,0
P007,S98,3,1947.21,0.0,1,0,1,0,0.0,1947.21,2,0,0,0,0.0,0
P007,S98,3,1954.95,7.740000000000009,1,0,0,0,7.740000000000009,1954.95,0,0,1,0,0.0,0
P007,S98,3,1959.62,4.669999999999845,1,0,0,0,12.409999999999854,1959.62,1,0,2,0,4.669999999999845,0
P007,S98,3,1959.62,0.0,1,0,1,0,0.0,1959.62,2,0,0,0,0.0,0
P007,S98,3,1968.6,8.980000000000018,1,0,0,0,8.980000000000018,1968.6,0,0,1,0,0.0,0
P007,S98,3,1968.6,0.0,1,0,1,0,0.0,1968.6,1,0,0,0,0.0,0
P007,S98,3,2029.1,60.5,1,0,0,0,60.5,2029.1,0,0,1,0,0.0,0
P007,S98,3,2029.1,0.0,1,0,1,0,0.0,2029.1,1,0,0,0,0.0,0
P007,S98,3,2045.77,16.670000000000073,1,0,0,0,16.670000000000073,2045.77,0,0,1,0,0.0,0
P007,S98,3,2047.73,1.9600000000000364,1,0,0,0,18.63000000000011,2047.73,1,0,2,0,1.9600000000000364,0
P007,S98,3,2053.23,5.5,1,0,0,0,24.13000000000011,2053.23,2,0,3,0,7.460000000000036,0
P007,S98,3,2053.23,0.0,1,0,1,0,0.0,2053.23,3,0,0,0,0.0,0
P007,S98,3,2062.9,9.670000000000073,1,0,0,0,9.670000000000073,2062.9,0,0,1,0,0.0,0
P007,S98,3,2062.9,0.0,1,0,1,0,0.0,2062.9,1,0,0,0,0.0,0
P007,S98,3,2077.32,14.420000000000073,1,0,0,0,14.420000000000073,2077.32,0,0,1,0,0.0,0
P007,S98,3,2077.32,0.0,1,0,1,0,0.0,2077.32,1,0,0,0,0.0,0
P007,S98,3,2088.22,10.899999999999636,1,0,0,0,10.899999999999636,2088.22,0,0,1,0,0.0,0
P007,S98,3,2088.22,0.0,1,0,1,0,0.0,2088.22,1,0,0,0,0.0,0
P007,S98,3,2102.57,14.350000000000364,1,0,0,0,14.350000000000364,2102.57,0,0,1,0,0.0,0
P007,S98,3,2102.57,0.0,1,0,1,0,0.0,2102.57,1,0,0,0,0.0,0
P007,S98,3,2111.51,8.940000000000055,1,0,0,0,8.940000000000055,2111.51,0,0,1,0,0.0,0
P007,S98,3,2113.93,2.419999999999618,1,0,0,0,11.359999999999673,2113.93,1,0,2,0,2.419999999999618,0
P007,S98,3,2113.93,0.0,1,0,1,0,0.0,2113.93,2,0,0,0,0.0,0
P007,S98,3,2118.97,5.039999999999964,1,0,0,0,5.039999999999964,2118.97,0,0,1,0,0.0,0
P007,S98,3,2118.97,0.0,1,0,1,0,0.0,2118.97,1,0,0,0,0.0,0
P007,S98,3,2148.1,29.13000000000011,1,0,0,0,29.13000000000011,2148.1,0,0,1,0,0.0,0
P007,S98,3,2148.1,0.0,1,0,1,0,0.0,2148.1,1,0,0,0,0.0,0
P007,S98,3,2158.82,10.720000000000255,1,0,0,0,10.720000000000255,2158.82,0,0,1,0,0.0,0
P007,S98,3,2158.82,0.0,1,0,1,0,0.0,2158.82,1,0,0,0,0.0,0
P007,S98,3,2168.06,9.239999999999782,1,0,0,0,9.239999999999782,2168.06,0,0,1,0,0.0,0
P007,S98,3,2168.06,0.0,1,0,1,0,0.0,2168.06,1,0,0,0,0.0,0
P007,S98,3,2232.28,64.22000000000025,1,0,0,0,64.22000000000025,2232.28,0,0,1,0,0.0,0
P007,S98,3,2232.28,0.0,1,0,1,0,0.0,2232.28,1,0,0,0,0.0,0
P007,S98,3,2255.25,22.9699999999998,1,0,0,0,22.9699999999998,2255.25,0,0,1,0,0.0,0
P007,S98,3,2255.25,0.0,1,0,1,0,0.0,2255.25,1,0,0,0,0.0,0
P007,S98,3,2263.62,8.36999999999989,1,0,0,0,8.36999999999989,2263.62,0,0,1,0,0.0,0
P007,S98,3,2292.92,29.300000000000182,1,0,0,0,37.67000000000007,2292.92,1,0,2,0,29.300000000000182,0
P007,S98,3,2292.92,0.0,1,0,1,0,0.0,2292.92,2,0,0,0,0.0,0
P007,S98,3,2309.29,16.36999999999989,1,0,0,0,16.36999999999989,2309.29,0,0,1,0,0.0,0
P007,S98,3,2309.29,0.0,1,0,1,0,0.0,2309.29,1,0,0,0,0.0,0
P007,S98,3,2317.44,8.150000000000091,1,0,0,0,8.150000000000091,2317.44,0,0,1,0,0.0,0
P007,S98,3,2319.43,1.9899999999997817,1,0,0,0,10.139999999999873,2319.43,1,0,2,0,1.9899999999997817,0
P007,S98,3,2319.43,0.0,1,0,1,0,0.0,2319.43,2,0,0,0,0.0,0
P007,S98,3,2328.23,8.800000000000182,1,0,0,0,8.800000000000182,2328.23,0,0,1,0,0.0,0
P007,S98,3,2328.23,0.0,1,0,1,0,0.0,2328.23,1,0,0,0,0.0,0
