bird,session,pair,time,time_diff,resp_RI,resp_RR,reward_RI,reward_RR,time_since_last_reward_RI,time_since_last_reward_RR,visit_lenght_response_RI,visit_lenght_response_RR,responses_before_reward_RI,responses_before_reward_RR,visit_lenght_time_RI,visit_lenght_time_RR
P450,S112,5,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0
P450,S112,5,1.13,1.13,0,1,0,0,1.13,1.13,0,0,0,1,0.0,0.0
P450,S112,5,3.28,2.15,0,1,0,0,3.28,3.28,0,1,0,2,0.0,2.15
P450,S112,5,7.82,4.540000000000001,0,1,0,0,7.82,7.82,0,2,0,3,0.0,6.690000000000001
P450,S112,5,9.79,1.9699999999999989,0,1,0,0,9.79,9.79,0,3,0,4,0.0,8.66
P450,S112,5,10.14,0.3500000000000014,0,1,0,0,10.14,10.14,0,4,0,5,0.0,9.010000000000002
P450,S112,5,10.34,0.1999999999999993,0,1,0,0,10.34,10.34,0,5,0,6,0.0,9.21
P450,S112,5,14.71,4.370000000000001,1,0,0,0,14.71,14.71,0,0,1,6,0.0,0.0
P450,S112,5,15.88,1.17,1,0,0,0,15.88,15.88,1,0,2,6,1.17,0.0
P450,S112,5,15.97,0.08999999999999986,1,0,0,0,15.97,15.97,2,0,3,6,1.2599999999999998,0.0
P450,S112,5,16.28,0.3100000000000005,1,0,0,0,16.28,16.28,3,0,4,6,1.5700000000000003,0.0
P450,S112,5,16.69,0.41000000000000014,1,0,0,0,16.69,16.69,4,0,5,6,1.9800000000000004,0.0
P450,S112,5,19.11,2.419999999999998,1,0,0,0,19.11,19.11,5,0,6,6,4.399999999999999,0.0
P450,S112,5,19.51,0.40000000000000213,1,0,0,0,19.51,19.51,6,0,7,6,4.800000000000001,0.0
P450,S112,5,23.7,4.189999999999998,1,0,0,0,23.7,23.7,7,0,8,6,8.989999999999998,0.0
P450,S112,5,23.94,0.240000000000002,1,0,0,0,23.94,23.94,8,0,9,6,9.23,0.0
P450,S112,5,24.29,0.34999999999999787,1,0,0,0,24.29,24.29,9,0,10,6,9.579999999999998,0.0
P450,S112,5,24.68,0.39000000000000057,1,0,0,0,24.68,24.68,10,0,11,6,9.969999999999999,0.0
P450,S112,5,25.01,0.33000000000000185,1,0,0,0,25.01,25.01,11,0,12,6,10.3,0.0
P450,S112,5,25.23,0.21999999999999886,1,0,0,0,25.23,25.23,12,0,13,6,10.52,0.0
P450,S112,5,25.62,0.39000000000000057,1,0,0,0,25.62,25.62,13,0,14,6,10.91,0.0
P450,S112,5,26.0,0.379999999999999,1,0,0,0,26.0,26.0,14,0,15,6,11.29,0.0
P450,S112,5,26.42,0.4200000000000017,1,0,0,0,26.42,26.42,15,0,16,6,11.71,0.0
P450,S112,5,30.22,3.799999999999997,0,1,0,0,30.22,30.22,0,0,16,7,0.0,0.0
P450,S112,5,30.62,0.40000000000000213,0,1,0,0,30.62,30.62,0,1,16,8,0.0,0.40000000000000213
P450,S112,5,31.45,0.8299999999999983,0,1,0,0,31.45,31.45,0,2,16,9,0.0,1.2300000000000004
P450,S112,5,31.74,0.28999999999999915,0,1,0,0,31.74,31.74,0,3,16,10,0.0,1.5199999999999996
P450,S112,5,32.02,0.2800000000000047,0,1,0,0,32.02,32.02,0,4,16,11,0.0,1.8000000000000043
P450,S112,5,33.46,1.4399999999999977,0,1,0,0,33.46,33.46,0,5,16,12,0.0,3.240000000000002
P450,S112,5,33.83,0.36999999999999744,0,1,0,0,33.83,33.83,0,6,16,13,0.0,3.6099999999999994
P450,S112,5,34.22,0.39000000000000057,0,1,0,0,34.22,34.22,0,7,16,14,0.0,4.0
P450,S112,5,34.55,0.3299999999999983,0,1,0,0,34.55,34.55,0,8,16,15,0.0,4.329999999999998
P450,S112,5,34.95,0.4000000000000057,0,1,0,0,34.95,34.95,0,9,16,16,0.0,4.730000000000004
P450,S112,5,37.76,2.809999999999995,1,0,0,0,37.76,37.76,0,0,17,16,0.0,0.0
P450,S112,5,38.09,0.3300000000000054,1,0,0,0,38.09,38.09,1,0,18,16,0.3300000000000054,0.0
P450,S112,5,41.99,3.8999999999999986,1,0,0,0,41.99,41.99,2,0,19,16,4.230000000000004,0.0
P450,S112,5,42.35,0.35999999999999943,1,0,0,0,42.35,42.35,3,0,20,16,4.590000000000003,0.0
P450,S112,5,45.54,3.1899999999999977,0,1,0,0,45.54,45.54,0,0,20,17,0.0,0.0
P450,S112,5,45.93,0.39000000000000057,0,1,0,0,45.93,45.93,0,1,20,18,0.0,0.39000000000000057
P450,S112,5,46.06,0.13000000000000256,0,1,0,0,46.06,46.06,0,2,20,19,0.0,0.5200000000000031
P450,S112,5,46.46,0.3999999999999986,0,1,0,0,46.46,46.46,0,3,20,20,0.0,0.9200000000000017
P450,S112,5,48.06,1.6000000000000014,0,1,0,0,48.06,48.06,0,4,20,21,0.0,2.520000000000003
P450,S112,5,48.82,0.759999999999998,0,1,0,0,48.82,48.82,0,5,20,22,0.0,3.280000000000001
P450,S112,5,49.26,0.4399999999999977,0,1,0,0,49.26,49.26,0,6,20,23,0.0,3.719999999999999
