bird,session,pair,time,time_diff,resp_RI,resp_RR,reward_RI,reward_RR,time_since_last_reward_RI,time_since_last_reward_RR,visit_lenght_response_RI,visit_lenght_response_RR,responses_before_reward_RI,responses_before_reward_RR,visit_lenght_time_RI,visit_lenght_time_RR
P502,S102,1,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0
P502,S102,1,6.66,6.66,0,1,0,0,6.66,6.66,0,0,0,1,0.0,0.0
P502,S102,1,7.02,0.35999999999999943,0,1,0,0,7.02,7.02,0,1,0,2,0.0,0.35999999999999943
P502,S102,1,7.38,0.3600000000000003,0,1,0,0,7.38,7.38,0,2,0,3,0.0,0.7199999999999998
P502,S102,1,7.83,0.4500000000000002,0,1,0,0,7.83,7.83,0,3,0,4,0.0,1.17
P502,S102,1,8.21,0.3800000000000008,0,1,0,0,8.21,8.21,0,4,0,5,0.0,1.5500000000000007
P502,S102,1,8.65,0.4399999999999995,0,1,0,0,8.65,8.65,0,5,0,6,0.0,1.9900000000000002
P502,S102,1,9.26,0.6099999999999994,0,1,0,0,9.26,9.26,0,6,0,7,0.0,2.5999999999999996
P502,S102,1,9.71,0.45000000000000107,0,1,0,0,9.71,9.71,0,7,0,8,0.0,3.0500000000000007
P502,S102,1,10.6,0.8899999999999988,0,1,0,0,10.6,10.6,0,8,0,9,0.0,3.9399999999999995
P502,S102,1,10.94,0.33999999999999986,0,1,0,0,10.94,10.94,0,9,0,10,0.0,4.279999999999999
P502,S102,1,11.85,0.9100000000000001,0,1,0,0,11.85,11.85,0,10,0,11,0.0,5.1899999999999995
P502,S102,1,12.23,0.3800000000000008,0,1,0,0,12.23,12.23,0,11,0,12,0.0,5.57
P502,S102,1,12.69,0.4599999999999991,0,1,0,0,12.69,12.69,0,12,0,13,0.0,6.029999999999999
P502,S102,1,13.2,0.5099999999999998,0,1,0,0,13.2,13.2,0,13,0,14,0.0,6.539999999999999
P502,S102,1,14.25,1.0500000000000007,0,1,0,0,14.25,14.25,0,14,0,15,0.0,7.59
P502,S102,1,15.32,1.0700000000000003,0,1,0,0,15.32,15.32,0,15,0,16,0.0,8.66
P502,S102,1,15.72,0.40000000000000036,0,1,0,0,15.72,15.72,0,16,0,17,0.0,9.06
P502,S102,1,16.12,0.40000000000000036,0,1,0,0,16.12,16.12,0,17,0,18,0.0,9.46
P502,S102,1,16.62,0.5,0,1,0,0,16.62,16.62,0,18,0,19,0.0,9.96
P502,S102,1,17.1,0.4800000000000004,0,1,0,0,17.1,17.1,0,19,0,20,0.0,10.440000000000001
P502,S102,1,17.59,0.48999999999999844,0,1,0,0,17.59,17.59,0,20,0,21,0.0,10.93
