bird,session,pair,time,time_diff,resp_RI,resp_RR,reward_RI,reward_RR,time_since_last_reward_RI,time_since_last_reward_RR,visit_lenght_response_RI,visit_lenght_response_RR,responses_before_reward_RI,responses_before_reward_RR,visit_lenght_time_RI,visit_lenght_time_RR
P007,S47,1,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0
P007,S47,1,19.52,19.52,0,1,0,0,19.52,19.52,0,0,0,1,0.0,0.0
P007,S47,1,52.34,32.82000000000001,1,0,0,0,52.34,52.34,0,0,1,1,0.0,0.0
P007,S47,1,52.34,0.0,1,0,1,0,0.0,52.34,1,0,0,1,0.0,0.0
P007,S47,1,61.7,9.36,0,1,0,0,9.36,61.7,0,0,0,2,0.0,0.0
P007,S47,1,62.75,1.0499999999999972,0,1,0,0,10.409999999999997,62.75,0,1,0,3,0.0,1.0499999999999972
P007,S47,1,63.72,0.9699999999999989,0,1,0,0,11.379999999999995,63.72,0,2,0,4,0.0,2.019999999999996
P007,S47,1,65.15,1.4300000000000068,0,1,0,0,12.810000000000002,65.15,0,3,0,5,0.0,3.450000000000003
P007,S47,1,66.1,0.9499999999999886,0,1,0,0,13.759999999999991,66.1,0,4,0,6,0.0,4.3999999999999915
P007,S47,1,79.97,13.870000000000005,1,0,0,0,27.629999999999995,79.97,0,0,1,6,0.0,0.0
P007,S47,1,79.97,0.0,1,0,1,0,0.0,79.97,1,0,0,6,0.0,0.0
P007,S47,1,87.43,7.460000000000008,0,1,0,0,7.460000000000008,87.43,0,0,0,7,0.0,0.0
P007,S47,1,88.33,0.8999999999999915,0,1,0,0,8.36,88.33,0,1,0,8,0.0,0.8999999999999915
P007,S47,1,89.92,1.5900000000000034,0,1,0,0,9.950000000000003,89.92,0,2,0,9,0.0,2.489999999999995
P007,S47,1,107.35,17.429999999999993,1,0,0,0,27.379999999999995,107.35,0,0,1,9,0.0,0.0
P007,S47,1,107.75,0.4000000000000057,1,0,0,0,27.78,107.75,1,0,2,9,0.4000000000000057,0.0
P007,S47,1,107.75,0.0,1,0,1,0,0.0,107.75,2,0,0,9,0.0,0.0
P007,S47,1,120.18,12.430000000000007,0,1,0,0,12.430000000000007,120.18,0,0,0,10,0.0,0.0
P007,S47,1,124.24,4.059999999999988,1,0,0,0,16.489999999999995,124.24,0,0,1,10,0.0,0.0
P007,S47,1,124.24,0.0,1,0,1,0,0.0,124.24,1,0,0,10,0.0,0.0
P007,S47,1,135.56,11.320000000000007,0,1,0,0,11.320000000000007,135.56,0,0,0,11,0.0,0.0
P007,S47,1,140.21,4.650000000000006,0,1,0,0,15.970000000000013,140.21,0,1,0,12,0.0,4.650000000000006
P007,S47,1,142.99,2.780000000000001,0,1,0,0,18.750000000000014,142.99,0,2,0,13,0.0,7.430000000000007
P007,S47,1,148.62,5.6299999999999955,1,0,0,0,24.38000000000001,148.62,0,0,1,13,0.0,0.0
P007,S47,1,160.08,11.460000000000008,0,1,0,0,35.84000000000002,160.08,0,0,1,14,0.0,0.0
P007,S47,1,161.31,1.2299999999999898,0,1,0,0,37.07000000000001,161.31,0,1,1,15,0.0,1.2299999999999898
P007,S47,1,171.92,10.609999999999985,0,1,0,0,47.67999999999999,171.92,0,2,1,16,0.0,11.839999999999975
P007,S47,1,172.41,0.4900000000000091,0,1,0,0,48.17,172.41,0,3,1,17,0.0,12.329999999999984
P007,S47,1,174.4,1.990000000000009,0,1,0,0,50.16000000000001,174.4,0,4,1,18,0.0,14.319999999999993
P007,S47,1,177.9,3.5,0,1,0,0,53.66000000000001,177.9,0,5,1,19,0.0,17.819999999999993
P007,S47,1,185.95,8.049999999999983,0,1,0,0,61.709999999999994,185.95,0,6,1,20,0.0,25.869999999999976
P007,S47,1,191.13,5.180000000000007,0,1,0,0,66.89,191.13,0,7,1,21,0.0,31.049999999999983
P007,S47,1,197.06,5.930000000000007,1,0,0,0,72.82000000000001,197.06,0,0,2,21,0.0,0.0
P007,S47,1,197.06,0.0,1,0,1,0,0.0,197.06,1,0,0,21,0.0,0.0
P007,S47,1,215.74,18.680000000000007,0,1,0,0,18.680000000000007,215.74,0,0,0,22,0.0,0.0
P007,S47,1,223.09,7.349999999999994,1,0,0,0,26.03,223.09,0,0,1,22,0.0,0.0
P007,S47,1,226.04,2.9499999999999886,1,0,0,0,28.97999999999999,226.04,1,0,2,22,2.9499999999999886,0.0
P007,S47,1,237.12,11.080000000000013,0,1,0,0,40.06,237.12,0,0,2,23,0.0,0.0
P007,S47,1,238.99,1.8700000000000045,0,1,0,0,41.93000000000001,238.99,0,1,2,24,0.0,1.8700000000000045
P007,S47,1,256.83,17.839999999999975,1,0,0,0,59.76999999999998,256.83,0,0,3,24,0.0,0.0
P007,S47,1,256.83,0.0,1,0,1,0,0.0,256.83,1,0,0,24,0.0,0.0
P007,S47,1,269.64,12.810000000000002,0,1,0,0,12.810000000000002,269.64,0,0,0,25,0.0,0.0
P007,S47,1,295.91,26.27000000000004,1,0,0,0,39.08000000000004,295.91,0,0,1,25,0.0,0.0
P007,S47,1,318.59,22.67999999999995,0,1,0,0,61.75999999999999,318.59,0,0,1,26,0.0,0.0
P007,S47,1,349.55,30.960000000000036,1,0,0,0,92.72000000000003,349.55,0,0,2,26,0.0,0.0
P007,S47,1,349.55,0.0,1,0,1,0,0.0,349.55,1,0,0,26,0.0,0.0
P007,S47,1,365.81,16.25999999999999,0,1,0,0,16.25999999999999,365.81,0,0,0,27,0.0,0.0
P007,S47,1,383.7,17.889999999999986,0,1,0,0,34.14999999999998,383.7,0,1,0,28,0.0,17.889999999999986
P007,S47,1,384.46,0.7599999999999909,0,1,0,0,34.90999999999997,384.46,0,2,0,29,0.0,18.649999999999977
P007,S47,1,429.23,44.77000000000004,0,1,0,0,79.68,429.23,0,3,0,30,0.0,63.420000000000016
P007,S47,1,444.78,15.549999999999955,0,1,0,0,95.22999999999996,444.78,0,4,0,31,0.0,78.96999999999997
P007,S47,1,445.71,0.9300000000000068,0,1,0,0,96.15999999999997,445.71,0,5,0,32,0.0,79.89999999999998
P007,S47,1,449.89,4.180000000000007,0,1,0,0,100.33999999999997,449.89,0,6,0,33,0.0,84.07999999999998
P007,S47,1,451.91,2.0200000000000387,0,1,0,0,102.36000000000001,451.91,0,7,0,34,0.0,86.10000000000002
P007,S47,1,461.78,9.869999999999948,0,1,0,0,112.22999999999996,461.78,0,8,0,35,0.0,95.96999999999997
P007,S47,1,465.0,3.2200000000000273,0,1,0,0,115.44999999999999,465.0,0,9,0,36,0.0,99.19
P007,S47,1,467.72,2.7200000000000273,0,1,0,0,118.17000000000002,467.72,0,10,0,37,0.0,101.91000000000003
P007,S47,1,468.46,0.7399999999999523,0,1,0,0,118.90999999999997,468.46,0,11,0,38,0.0,102.64999999999998
P007,S47,1,472.0,3.5400000000000205,0,1,0,0,122.44999999999999,472.0,0,12,0,39,0.0,106.19
P007,S47,1,475.6,3.6000000000000227,0,1,0,0,126.05000000000001,475.6,0,13,0,40,0.0,109.79000000000002
P007,S47,1,506.34,30.739999999999952,0,1,0,0,156.78999999999996,506.34,0,14,0,41,0.0,140.52999999999997
P007,S47,1,509.93,3.590000000000032,0,1,0,0,160.38,509.93,0,15,0,42,0.0,144.12
P007,S47,1,535.39,25.45999999999998,0,1,0,0,185.83999999999997,535.39,0,16,0,43,0.0,169.57999999999998
P007,S47,1,536.04,0.6499999999999773,0,1,0,0,186.48999999999995,536.04,0,17,0,44,0.0,170.22999999999996
P007,S47,1,544.29,8.25,0,1,0,0,194.73999999999995,544.29,0,18,0,45,0.0,178.47999999999996
P007,S47,1,544.99,0.7000000000000455,0,1,0,0,195.44,544.99,0,19,0,46,0.0,179.18
P007,S47,1,546.82,1.830000000000041,0,1,0,0,197.27000000000004,546.82,0,20,0,47,0.0,181.01000000000005
P007,S47,1,567.62,20.799999999999955,0,1,0,0,218.07,567.62,0,21,0,48,0.0,201.81
P007,S47,1,576.44,8.82000000000005,0,1,0,0,226.89000000000004,576.44,0,22,0,49,0.0,210.63000000000005
P007,S47,1,583.56,7.119999999999891,0,1,0,0,234.00999999999993,583.56,0,23,0,50,0.0,217.74999999999994
P007,S47,1,586.04,2.480000000000018,0,1,0,0,236.48999999999995,586.04,0,24,0,51,0.0,220.22999999999996
P007,S47,1,587.75,1.7100000000000364,0,1,0,0,238.2,587.75,0,25,0,52,0.0,221.94
P007,S47,1,588.47,0.7200000000000273,0,1,0,0,238.92000000000002,588.47,0,26,0,53,0.0,222.66000000000003
P007,S47,1,591.85,3.3799999999999955,0,1,0,0,242.3,591.85,0,27,0,54,0.0,226.04000000000002
P007,S47,1,596.14,4.289999999999964,0,1,0,0,246.58999999999997,596.14,0,28,0,55,0.0,230.32999999999998
