bird,session,pair,time,time_diff,resp_RI,resp_RR,reward_RI,reward_RR,time_since_last_reward_RI,time_since_last_reward_RR,visit_lenght_response_RI,visit_lenght_response_RR,responses_before_reward_RI,responses_before_reward_RR,visit_lenght_time_RI,visit_lenght_time_RR
P892,S42,5,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0
P892,S42,5,995.83,995.83,0,1,0,0,995.83,995.83,0,0,0,1,0.0,0.0
P892,S42,5,996.21,0.37999999999999545,0,1,0,0,996.21,996.21,0,1,0,2,0.0,0.37999999999999545
P892,S42,5,998.52,2.3099999999999454,0,1,0,0,998.52,998.52,0,2,0,3,0.0,2.689999999999941
P892,S42,5,998.85,0.3300000000000409,0,1,0,0,998.85,998.85,0,3,0,4,0.0,3.019999999999982
P892,S42,5,1001.72,2.8700000000000045,0,1,0,0,1001.72,1001.72,0,4,0,5,0.0,5.889999999999986
P892,S42,5,1001.72,0.0,0,1,0,1,1001.72,0.0,0,5,0,0,0.0,0.0
P892,S42,5,1006.43,4.709999999999923,0,1,0,0,1006.43,4.709999999999923,0,0,0,1,0.0,0.0
P892,S42,5,1006.73,0.3000000000000682,0,1,0,0,1006.73,5.009999999999991,0,1,0,2,0.0,0.3000000000000682
P892,S42,5,1008.52,1.7899999999999636,0,1,0,0,1008.52,6.7999999999999545,0,2,0,3,0.0,2.090000000000032
P892,S42,5,1009.73,1.2100000000000364,0,1,0,0,1009.73,8.009999999999991,0,3,0,4,0.0,3.300000000000068
P892,S42,5,1010.3,0.5699999999999363,0,1,0,0,1010.3,8.579999999999927,0,4,0,5,0.0,3.8700000000000045
P892,S42,5,1010.6,0.3000000000000682,0,1,0,0,1010.6,8.879999999999995,0,5,0,6,0.0,4.170000000000073
P892,S42,5,1011.11,0.5099999999999909,0,1,0,0,1011.11,9.389999999999986,0,6,0,7,0.0,4.680000000000064
P892,S42,5,1011.62,0.5099999999999909,0,1,0,0,1011.62,9.899999999999977,0,7,0,8,0.0,5.190000000000055
P892,S42,5,1012.79,1.169999999999959,0,1,0,0,1012.79,11.069999999999936,0,8,0,9,0.0,6.360000000000014
P892,S42,5,1013.71,0.9200000000000728,0,1,0,0,1013.71,11.990000000000009,0,9,0,10,0.0,7.280000000000086
P892,S42,5,1014.13,0.4199999999999591,0,1,0,0,1014.13,12.409999999999968,0,10,0,11,0.0,7.7000000000000455
P892,S42,5,1014.59,0.4600000000000364,0,1,0,0,1014.59,12.870000000000005,0,11,0,12,0.0,8.160000000000082
P892,S42,5,1015.62,1.0299999999999727,0,1,0,0,1015.62,13.899999999999977,0,12,0,13,0.0,9.190000000000055
P892,S42,5,1015.97,0.35000000000002274,0,1,0,0,1015.97,14.25,0,13,0,14,0.0,9.540000000000077
P892,S42,5,1016.42,0.4499999999999318,0,1,0,0,1016.42,14.699999999999932,0,14,0,15,0.0,9.990000000000009
P892,S42,5,1021.23,4.810000000000059,1,0,0,0,1021.23,19.50999999999999,0,0,1,15,0.0,0.0
P892,S42,5,1022.03,0.7999999999999545,1,0,0,0,1022.03,20.309999999999945,1,0,2,15,0.7999999999999545,0.0
P892,S42,5,1022.89,0.8600000000000136,1,0,0,0,1022.89,21.16999999999996,2,0,3,15,1.6599999999999682,0.0
P892,S42,5,1023.48,0.5900000000000318,1,0,0,0,1023.48,21.75999999999999,3,0,4,15,2.25,0.0
P892,S42,5,1024.93,1.4500000000000455,1,0,0,0,1024.93,23.210000000000036,4,0,5,15,3.7000000000000455,0.0
P892,S42,5,1025.67,0.7400000000000091,1,0,0,0,1025.67,23.950000000000045,5,0,6,15,4.440000000000055,0.0
P892,S42,5,1027.11,1.4399999999998272,1,0,0,0,1027.11,25.389999999999873,6,0,7,15,5.879999999999882,0.0
P892,S42,5,1028.84,1.7300000000000182,1,0,0,0,1028.84,27.11999999999989,7,0,8,15,7.6099999999999,0.0
P892,S42,5,1030.68,1.8400000000001455,1,0,0,0,1030.68,28.960000000000036,8,0,9,15,9.450000000000045,0.0
P892,S42,5,1031.02,0.33999999999991815,1,0,0,0,1031.02,29.299999999999955,9,0,10,15,9.789999999999964,0.0
P892,S42,5,1032.52,1.5,1,0,0,0,1032.52,30.799999999999955,10,0,11,15,11.289999999999964,0.0
P892,S42,5,1032.86,0.33999999999991815,1,0,0,0,1032.86,31.139999999999873,11,0,12,15,11.629999999999882,0.0
P892,S42,5,1034.56,1.7000000000000455,1,0,0,0,1034.56,32.83999999999992,12,0,13,15,13.329999999999927,0.0
P892,S42,5,1034.96,0.40000000000009095,1,0,0,0,1034.96,33.24000000000001,13,0,14,15,13.730000000000018,0.0
P892,S42,5,1036.94,1.9800000000000182,1,0,0,0,1036.94,35.22000000000003,14,0,15,15,15.710000000000036,0.0
P892,S42,5,1037.39,0.4500000000000455,1,0,0,0,1037.39,35.67000000000007,15,0,16,15,16.160000000000082,0.0
P892,S42,5,1039.17,1.7799999999999727,1,0,0,0,1039.17,37.450000000000045,16,0,17,15,17.940000000000055,0.0
P892,S42,5,1041.09,1.9199999999998454,1,0,0,0,1041.09,39.36999999999989,17,0,18,15,19.8599999999999,0.0
P892,S42,5,1041.24,0.15000000000009095,1,0,0,0,1041.24,39.51999999999998,18,0,19,15,20.00999999999999,0.0
P892,S42,5,1041.63,0.39000000000010004,1,0,0,0,1041.63,39.91000000000008,19,0,20,15,20.40000000000009,0.0
P892,S42,5,1043.38,1.75,1,0,0,0,1043.38,41.66000000000008,20,0,21,15,22.15000000000009,0.0
P892,S42,5,1043.75,0.36999999999989086,1,0,0,0,1043.75,42.02999999999997,21,0,22,15,22.519999999999982,0.0
P892,S42,5,1044.17,0.42000000000007276,1,0,0,0,1044.17,42.450000000000045,22,0,23,15,22.940000000000055,0.0
P892,S42,5,1047.2,3.0299999999999727,1,0,0,0,1047.2,45.48000000000002,23,0,24,15,25.970000000000027,0.0
P892,S42,5,1047.59,0.38999999999987267,1,0,0,0,1047.59,45.86999999999989,24,0,25,15,26.3599999999999,0.0
P892,S42,5,1049.21,1.6200000000001182,1,0,0,0,1049.21,47.49000000000001,25,0,26,15,27.980000000000018,0.0
P892,S42,5,1049.9,0.6900000000000546,1,0,0,0,1049.9,48.180000000000064,26,0,27,15,28.670000000000073,0.0
P892,S42,5,1051.77,1.8699999999998909,1,0,0,0,1051.77,50.049999999999955,27,0,28,15,30.539999999999964,0.0
P892,S42,5,1051.89,0.12000000000011823,1,0,0,0,1051.89,50.17000000000007,28,0,29,15,30.660000000000082,0.0
P892,S42,5,1053.88,1.990000000000009,1,0,0,0,1053.88,52.16000000000008,29,0,30,15,32.65000000000009,0.0
P892,S42,5,1054.04,0.15999999999985448,1,0,0,0,1054.04,52.319999999999936,30,0,31,15,32.809999999999945,0.0
P892,S42,5,1054.48,0.44000000000005457,1,0,0,0,1054.48,52.75999999999999,31,0,32,15,33.25,0.0
P892,S42,5,1054.63,0.15000000000009095,1,0,0,0,1054.63,52.91000000000008,32,0,33,15,33.40000000000009,0.0
P892,S42,5,1056.04,1.4099999999998545,1,0,0,0,1056.04,54.319999999999936,33,0,34,15,34.809999999999945,0.0
P892,S42,5,1056.58,0.5399999999999636,1,0,0,0,1056.58,54.8599999999999,34,0,35,15,35.34999999999991,0.0
P892,S42,5,1057.71,1.1300000000001091,1,0,0,0,1057.71,55.99000000000001,35,0,36,15,36.48000000000002,0.0
P892,S42,5,1058.0,0.2899999999999636,1,0,0,0,1058.0,56.27999999999997,36,0,37,15,36.76999999999998,0.0
P892,S42,5,1058.66,0.6600000000000819,1,0,0,0,1058.66,56.940000000000055,37,0,38,15,37.430000000000064,0.0
P892,S42,5,1060.03,1.3699999999998909,1,0,0,0,1060.03,58.309999999999945,38,0,39,15,38.799999999999955,0.0
P892,S42,5,1060.49,0.4600000000000364,1,0,0,0,1060.49,58.76999999999998,39,0,40,15,39.25999999999999,0.0
P892,S42,5,1060.81,0.31999999999993634,1,0,0,0,1060.81,59.08999999999992,40,0,41,15,39.57999999999993,0.0
P892,S42,5,1060.97,0.16000000000008185,1,0,0,0,1060.97,59.25,41,0,42,15,39.74000000000001,0.0
P892,S42,5,1062.01,1.0399999999999636,1,0,0,0,1062.01,60.289999999999964,42,0,43,15,40.77999999999997,0.0
P892,S42,5,1062.39,0.38000000000010914,1,0,0,0,1062.39,60.67000000000007,43,0,44,15,41.16000000000008,0.0
P892,S42,5,1063.88,1.490000000000009,1,0,0,0,1063.88,62.16000000000008,44,0,45,15,42.65000000000009,0.0
P892,S42,5,1064.32,0.4399999999998272,1,0,0,0,1064.32,62.59999999999991,45,0,46,15,43.08999999999992,0.0
P892,S42,5,1065.96,1.6400000000001,1,0,0,0,1065.96,64.24000000000001,46,0,47,15,44.73000000000002,0.0
P892,S42,5,1066.27,0.30999999999994543,1,0,0,0,1066.27,64.54999999999995,47,0,48,15,45.039999999999964,0.0
P892,S42,5,1066.55,0.2799999999999727,1,0,0,0,1066.55,64.82999999999993,48,0,49,15,45.319999999999936,0.0
P892,S42,5,1068.56,2.009999999999991,1,0,0,0,1068.56,66.83999999999992,49,0,50,15,47.32999999999993,0.0
P892,S42,5,1068.91,0.3500000000001364,1,0,0,0,1068.91,67.19000000000005,50,0,51,15,47.680000000000064,0.0
P892,S42,5,1069.37,0.459999999999809,1,0,0,0,1069.37,67.64999999999986,51,0,52,15,48.13999999999987,0.0
P892,S42,5,1071.0,1.6300000000001091,1,0,0,0,1071.0,69.27999999999997,52,0,53,15,49.76999999999998,0.0
P892,S42,5,1071.36,0.35999999999989996,1,0,0,0,1071.36,69.63999999999987,53,0,54,15,50.12999999999988,0.0
P892,S42,5,1072.95,1.5900000000001455,1,0,0,0,1072.95,71.23000000000002,54,0,55,15,51.72000000000003,0.0
P892,S42,5,1073.12,0.16999999999984539,1,0,0,0,1073.12,71.39999999999986,55,0,56,15,51.88999999999987,0.0
P892,S42,5,1073.52,0.40000000000009095,1,0,0,0,1073.52,71.79999999999995,56,0,57,15,52.289999999999964,0.0
P892,S42,5,1074.89,1.3700000000001182,1,0,0,0,1074.89,73.17000000000007,57,0,58,15,53.66000000000008,0.0
P892,S42,5,1075.42,0.5299999999999727,1,0,0,0,1075.42,73.70000000000005,58,0,59,15,54.190000000000055,0.0
P892,S42,5,1076.98,1.5599999999999454,1,0,0,0,1076.98,75.25999999999999,59,0,60,15,55.75,0.0
P892,S42,5,1077.3,0.31999999999993634,1,0,0,0,1077.3,75.57999999999993,60,0,61,15,56.069999999999936,0.0
P892,S42,5,1077.45,0.15000000000009095,1,0,0,0,1077.45,75.73000000000002,61,0,62,15,56.22000000000003,0.0
P892,S42,5,1077.87,0.4199999999998454,1,0,0,0,1077.87,76.14999999999986,62,0,63,15,56.63999999999987,0.0
P892,S42,5,1079.73,1.8600000000001273,1,0,0,0,1079.73,78.00999999999999,63,0,64,15,58.5,0.0
P892,S42,5,1080.17,0.44000000000005457,1,0,0,0,1080.17,78.45000000000005,64,0,65,15,58.940000000000055,0.0
P892,S42,5,1080.31,0.13999999999987267,1,0,0,0,1080.31,78.58999999999992,65,0,66,15,59.07999999999993,0.0
P892,S42,5,1081.66,1.3500000000001364,1,0,0,0,1081.66,79.94000000000005,66,0,67,15,60.430000000000064,0.0
P892,S42,5,1082.0,0.33999999999991815,1,0,0,0,1082.0,80.27999999999997,67,0,68,15,60.76999999999998,0.0
P892,S42,5,1082.19,0.19000000000005457,1,0,0,0,1082.19,80.47000000000003,68,0,69,15,60.960000000000036,0.0
P892,S42,5,1082.61,0.4199999999998454,1,0,0,0,1082.61,80.88999999999987,69,0,70,15,61.37999999999988,0.0
P892,S42,5,1084.09,1.4800000000000182,1,0,0,0,1084.09,82.36999999999989,70,0,71,15,62.8599999999999,0.0
P892,S42,5,1084.58,0.4900000000000091,1,0,0,0,1084.58,82.8599999999999,71,0,72,15,63.34999999999991,0.0
P892,S42,5,1086.07,1.490000000000009,1,0,0,0,1086.07,84.34999999999991,72,0,73,15,64.83999999999992,0.0
P892,S42,5,1086.6,0.5299999999999727,1,0,0,0,1086.6,84.87999999999988,73,0,74,15,65.36999999999989,0.0
P892,S42,5,1088.13,1.5300000000002,1,0,0,0,1088.13,86.41000000000008,74,0,75,15,66.90000000000009,0.0
P892,S42,5,1088.57,0.4399999999998272,1,0,0,0,1088.57,86.84999999999991,75,0,76,15,67.33999999999992,0.0
P892,S42,5,1089.94,1.3700000000001182,1,0,0,0,1089.94,88.22000000000003,76,0,77,15,68.71000000000004,0.0
P892,S42,5,1090.35,0.4099999999998545,1,0,0,0,1090.35,88.62999999999988,77,0,78,15,69.11999999999989,0.0
P892,S42,5,1092.41,2.060000000000173,1,0,0,0,1092.41,90.69000000000005,78,0,79,15,71.18000000000006,0.0
P892,S42,5,1094.59,2.1799999999998363,1,0,0,0,1094.59,92.86999999999989,79,0,80,15,73.3599999999999,0.0
P892,S42,5,1095.16,0.5700000000001637,1,0,0,0,1095.16,93.44000000000005,80,0,81,15,73.93000000000006,0.0
P892,S42,5,1096.49,1.3299999999999272,1,0,0,0,1096.49,94.76999999999998,81,0,82,15,75.25999999999999,0.0
P892,S42,5,1096.95,0.4600000000000364,1,0,0,0,1096.95,95.23000000000002,82,0,83,15,75.72000000000003,0.0
P892,S42,5,1098.55,1.599999999999909,1,0,0,0,1098.55,96.82999999999993,83,0,84,15,77.31999999999994,0.0
P892,S42,5,1098.9,0.3500000000001364,1,0,0,0,1098.9,97.18000000000006,84,0,85,15,77.67000000000007,0.0
P892,S42,5,1100.11,1.209999999999809,1,0,0,0,1100.11,98.38999999999987,85,0,86,15,78.87999999999988,0.0
P892,S42,5,1100.52,0.41000000000008185,1,0,0,0,1100.52,98.79999999999995,86,0,87,15,79.28999999999996,0.0
P892,S42,5,1102.19,1.6700000000000728,1,0,0,0,1102.19,100.47000000000003,87,0,88,15,80.96000000000004,0.0
P892,S42,5,1102.52,0.32999999999992724,1,0,0,0,1102.52,100.79999999999995,88,0,89,15,81.28999999999996,0.0
P892,S42,5,1104.43,1.9100000000000819,1,0,0,0,1104.43,102.71000000000004,89,0,90,15,83.20000000000005,0.0
P892,S42,5,1104.82,0.38999999999987267,1,0,0,0,1104.82,103.09999999999991,90,0,91,15,83.58999999999992,0.0
P892,S42,5,1106.2,1.3800000000001091,1,0,0,0,1106.2,104.48000000000002,91,0,92,15,84.97000000000003,0.0
P892,S42,5,1106.57,0.36999999999989086,1,0,0,0,1106.57,104.84999999999991,92,0,93,15,85.33999999999992,0.0
P892,S42,5,1108.19,1.6200000000001182,1,0,0,0,1108.19,106.47000000000003,93,0,94,15,86.96000000000004,0.0
P892,S42,5,1109.22,1.0299999999999727,1,0,0,0,1109.22,107.5,94,0,95,15,87.99000000000001,0.0
P892,S42,5,1110.67,1.4500000000000455,1,0,0,0,1110.67,108.95000000000005,95,0,96,15,89.44000000000005,0.0
P892,S42,5,1111.03,0.35999999999989996,1,0,0,0,1111.03,109.30999999999995,96,0,97,15,89.79999999999995,0.0
P892,S42,5,1113.76,2.730000000000018,1,0,0,0,1113.76,112.03999999999996,97,0,98,15,92.52999999999997,0.0
P892,S42,5,1114.2,0.44000000000005457,1,0,0,0,1114.2,112.48000000000002,98,0,99,15,92.97000000000003,0.0
P892,S42,5,1115.64,1.4400000000000546,1,0,0,0,1115.64,113.92000000000007,99,0,100,15,94.41000000000008,0.0
P892,S42,5,1117.67,2.0299999999999727,1,0,0,0,1117.67,115.95000000000005,100,0,101,15,96.44000000000005,0.0
P892,S42,5,1119.35,1.6799999999998363,1,0,0,0,1119.35,117.62999999999988,101,0,102,15,98.11999999999989,0.0
P892,S42,5,1119.68,0.3300000000001546,1,0,0,0,1119.68,117.96000000000004,102,0,103,15,98.45000000000005,0.0
P892,S42,5,1120.2,0.5199999999999818,1,0,0,0,1120.2,118.48000000000002,103,0,104,15,98.97000000000003,0.0
P892,S42,5,1122.16,1.9600000000000364,1,0,0,0,1122.16,120.44000000000005,104,0,105,15,100.93000000000006,0.0
P892,S42,5,1122.53,0.36999999999989086,1,0,0,0,1122.53,120.80999999999995,105,0,106,15,101.29999999999995,0.0
P892,S42,5,1123.98,1.4500000000000455,1,0,0,0,1123.98,122.25999999999999,106,0,107,15,102.75,0.0
P892,S42,5,1124.35,0.36999999999989086,1,0,0,0,1124.35,122.62999999999988,107,0,108,15,103.11999999999989,0.0
P892,S42,5,1124.75,0.40000000000009095,1,0,0,0,1124.75,123.02999999999997,108,0,109,15,103.51999999999998,0.0
P892,S42,5,1127.15,2.400000000000091,1,0,0,0,1127.15,125.43000000000006,109,0,110,15,105.92000000000007,0.0
P892,S42,5,1127.56,0.4099999999998545,1,0,0,0,1127.56,125.83999999999992,110,0,111,15,106.32999999999993,0.0
P892,S42,5,1129.41,1.8500000000001364,1,0,0,0,1129.41,127.69000000000005,111,0,112,15,108.18000000000006,0.0
P892,S42,5,1129.83,0.4199999999998454,1,0,0,0,1129.83,128.1099999999999,112,0,113,15,108.59999999999991,0.0
P892,S42,5,1133.16,3.3300000000001546,1,0,0,0,1133.16,131.44000000000005,113,0,114,15,111.93000000000006,0.0
P892,S42,5,1133.55,0.38999999999987267,1,0,0,0,1133.55,131.82999999999993,114,0,115,15,112.31999999999994,0.0
P892,S42,5,1134.9,1.3500000000001364,1,0,0,0,1134.9,133.18000000000006,115,0,116,15,113.67000000000007,0.0
P892,S42,5,1135.28,0.37999999999988177,1,0,0,0,1135.28,133.55999999999995,116,0,117,15,114.04999999999995,0.0
P892,S42,5,1136.84,1.5599999999999454,1,0,0,0,1136.84,135.1199999999999,117,0,118,15,115.6099999999999,0.0
P892,S42,5,1138.37,1.5299999999999727,1,0,0,0,1138.37,136.64999999999986,118,0,119,15,117.13999999999987,0.0
P892,S42,5,1138.76,0.39000000000010004,1,0,0,0,1138.76,137.03999999999996,119,0,120,15,117.52999999999997,0.0
P892,S42,5,1139.23,0.4700000000000273,1,0,0,0,1139.23,137.51,120,0,121,15,118.0,0.0
P892,S42,5,1142.58,3.349999999999909,1,0,0,0,1142.58,140.8599999999999,121,0,122,15,121.34999999999991,0.0
P892,S42,5,1144.87,2.2899999999999636,1,0,0,0,1144.87,143.14999999999986,122,0,123,15,123.63999999999987,0.0
P892,S42,5,1147.85,2.980000000000018,1,0,0,0,1147.85,146.12999999999988,123,0,124,15,126.61999999999989,0.0
P892,S42,5,1148.2,0.3500000000001364,1,0,0,0,1148.2,146.48000000000002,124,0,125,15,126.97000000000003,0.0
P892,S42,5,1148.58,0.37999999999988177,1,0,0,0,1148.58,146.8599999999999,125,0,126,15,127.34999999999991,0.0
P892,S42,5,1150.21,1.6300000000001091,1,0,0,0,1150.21,148.49,126,0,127,15,128.98000000000002,0.0
P892,S42,5,1150.56,0.34999999999990905,1,0,0,0,1150.56,148.83999999999992,127,0,128,15,129.32999999999993,0.0
P892,S42,5,1152.7,2.1400000000001,1,0,0,0,1152.7,150.98000000000002,128,0,129,15,131.47000000000003,0.0
P892,S42,5,1153.04,0.33999999999991815,1,0,0,0,1153.04,151.31999999999994,129,0,130,15,131.80999999999995,0.0
P892,S42,5,1154.82,1.7799999999999727,1,0,0,0,1154.82,153.0999999999999,130,0,131,15,133.58999999999992,0.0
P892,S42,5,1155.2,0.38000000000010914,1,0,0,0,1155.2,153.48000000000002,131,0,132,15,133.97000000000003,0.0
P892,S42,5,1156.41,1.2100000000000364,1,0,0,0,1156.41,154.69000000000005,132,0,133,15,135.18000000000006,0.0
P892,S42,5,1158.74,2.3299999999999272,1,0,0,0,1158.74,157.01999999999998,133,0,134,15,137.51,0.0
P892,S42,5,1160.71,1.9700000000000273,1,0,0,0,1160.71,158.99,134,0,135,15,139.48000000000002,0.0
P892,S42,5,1161.07,0.35999999999989996,1,0,0,0,1161.07,159.3499999999999,135,0,136,15,139.83999999999992,0.0
P892,S42,5,1162.66,1.5900000000001455,1,0,0,0,1162.66,160.94000000000005,136,0,137,15,141.43000000000006,0.0
P892,S42,5,1163.03,0.36999999999989086,1,0,0,0,1163.03,161.30999999999995,137,0,138,15,141.79999999999995,0.0
P892,S42,5,1163.46,0.43000000000006366,1,0,0,0,1163.46,161.74,138,0,139,15,142.23000000000002,0.0
P892,S42,5,1165.78,2.3199999999999363,1,0,0,0,1165.78,164.05999999999995,139,0,140,15,144.54999999999995,0.0
P892,S42,5,1166.16,0.38000000000010914,1,0,0,0,1166.16,164.44000000000005,140,0,141,15,144.93000000000006,0.0
P892,S42,5,1168.27,2.1099999999999,1,0,0,0,1168.27,166.54999999999995,141,0,142,15,147.03999999999996,0.0
P892,S42,5,1168.67,0.40000000000009095,1,0,0,0,1168.67,166.95000000000005,142,0,143,15,147.44000000000005,0.0
P892,S42,5,1170.23,1.5599999999999454,1,0,0,0,1170.23,168.51,143,0,144,15,149.0,0.0
P892,S42,5,1171.79,1.5599999999999454,1,0,0,0,1171.79,170.06999999999994,144,0,145,15,150.55999999999995,0.0
P892,S42,5,1176.87,5.079999999999927,1,0,0,0,1176.87,175.14999999999986,145,0,146,15,155.63999999999987,0.0
P892,S42,5,1177.99,1.1200000000001182,1,0,0,0,1177.99,176.26999999999998,146,0,147,15,156.76,0.0
P892,S42,5,1179.81,1.8199999999999363,1,0,0,0,1179.81,178.08999999999992,147,0,148,15,158.57999999999993,0.0
P892,S42,5,1181.63,1.8200000000001637,1,0,0,0,1181.63,179.91000000000008,148,0,149,15,160.4000000000001,0.0
