bird,session,pair,time,time_diff,resp_RI,resp_RR,reward_RI,reward_RR,time_since_last_reward_RI,time_since_last_reward_RR,visit_lenght_response_RI,visit_lenght_response_RR,responses_before_reward_RI,responses_before_reward_RR,visit_lenght_time_RI,visit_lenght_time_RR
P498,S104,8,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0
P498,S104,8,2192.14,2192.14,1,0,0,0,2192.14,2192.14,0,0,1,0,0.0,0.0
P498,S104,8,2194.4,2.2600000000002183,0,1,0,0,2194.4,2194.4,0,0,1,1,0.0,0.0
P498,S104,8,2194.73,0.32999999999992724,0,1,0,0,2194.73,2194.73,0,1,1,2,0.0,0.32999999999992724
P498,S104,8,2195.08,0.34999999999990905,0,1,0,0,2195.08,2195.08,0,2,1,3,0.0,0.6799999999998363
P498,S104,8,2195.42,0.3400000000001455,0,1,0,0,2195.42,2195.42,0,3,1,4,0.0,1.0199999999999818
P498,S104,8,2195.78,0.36000000000012733,0,1,0,0,2195.78,2195.78,0,4,1,5,0.0,1.3800000000001091
P498,S104,8,2196.14,0.3599999999996726,0,1,0,0,2196.14,2196.14,0,5,1,6,0.0,1.7399999999997817
P498,S104,8,2196.49,0.34999999999990905,0,1,0,0,2196.49,2196.49,0,6,1,7,0.0,2.0899999999996908
P498,S104,8,2196.85,0.36000000000012733,0,1,0,0,2196.85,2196.85,0,7,1,8,0.0,2.449999999999818
P498,S104,8,2197.19,0.3400000000001455,0,1,0,0,2197.19,2197.19,0,8,1,9,0.0,2.7899999999999636
P498,S104,8,2197.57,0.38000000000010914,0,1,0,0,2197.57,2197.57,0,9,1,10,0.0,3.1700000000000728
P498,S104,8,2197.92,0.34999999999990905,0,1,0,0,2197.92,2197.92,0,10,1,11,0.0,3.519999999999982
P498,S104,8,2198.98,1.0599999999999454,0,1,0,0,2198.98,2198.98,0,11,1,12,0.0,4.579999999999927
P498,S104,8,2199.34,0.36000000000012733,0,1,0,0,2199.34,2199.34,0,12,1,13,0.0,4.940000000000055
P498,S104,8,2200.86,1.5199999999999818,1,0,0,0,2200.86,2200.86,0,0,2,13,0.0,0.0
P498,S104,8,2201.21,0.34999999999990905,1,0,0,0,2201.21,2201.21,1,0,3,13,0.34999999999990905,0.0
P498,S104,8,2201.53,0.3200000000001637,1,0,0,0,2201.53,2201.53,2,0,4,13,0.6700000000000728,0.0
P498,S104,8,2201.81,0.27999999999974534,1,0,0,0,2201.81,2201.81,3,0,5,13,0.9499999999998181,0.0
P498,S104,8,2202.09,0.2800000000002001,1,0,0,0,2202.09,2202.09,4,0,6,13,1.2300000000000182,0.0
P498,S104,8,2204.23,2.1399999999998727,0,1,0,0,2204.23,2204.23,0,0,6,14,0.0,0.0
P498,S104,8,2205.02,0.7899999999999636,0,1,0,0,2205.02,2205.02,0,1,6,15,0.0,0.7899999999999636
P498,S104,8,2205.39,0.36999999999989086,0,1,0,0,2205.39,2205.39,0,2,6,16,0.0,1.1599999999998545
P498,S104,8,2205.75,0.36000000000012733,0,1,0,0,2205.75,2205.75,0,3,6,17,0.0,1.5199999999999818
P498,S104,8,2207.08,1.3299999999999272,0,1,0,0,2207.08,2207.08,0,4,6,18,0.0,2.849999999999909
P498,S104,8,2207.42,0.3400000000001455,0,1,0,0,2207.42,2207.42,0,5,6,19,0.0,3.1900000000000546
P498,S104,8,2208.81,1.3899999999998727,1,0,0,0,2208.81,2208.81,0,0,7,19,0.0,0.0
P498,S104,8,2209.18,0.36999999999989086,1,0,0,0,2209.18,2209.18,1,0,8,19,0.36999999999989086,0.0
P498,S104,8,2209.75,0.5700000000001637,1,0,0,0,2209.75,2209.75,2,0,9,19,0.9400000000000546,0.0
P498,S104,8,2210.09,0.3400000000001455,1,0,0,0,2210.09,2210.09,3,0,10,19,1.2800000000002,0.0
P498,S104,8,2211.65,1.5599999999999454,0,1,0,0,2211.65,2211.65,0,0,10,20,0.0,0.0
P498,S104,8,2212.02,0.36999999999989086,0,1,0,0,2212.02,2212.02,0,1,10,21,0.0,0.36999999999989086
P498,S104,8,2213.64,1.6199999999998909,1,0,0,0,2213.64,2213.64,0,0,11,21,0.0,0.0
P498,S104,8,2213.96,0.3200000000001637,1,0,0,0,2213.96,2213.96,1,0,12,21,0.3200000000001637,0.0
P498,S104,8,2214.77,0.8099999999999454,1,0,0,0,2214.77,2214.77,2,0,13,21,1.1300000000001091,0.0
P498,S104,8,2215.52,0.75,1,0,0,0,2215.52,2215.52,3,0,14,21,1.8800000000001091,0.0
P498,S104,8,2215.86,0.3400000000001455,1,0,0,0,2215.86,2215.86,4,0,15,21,2.2200000000002547,0.0
P498,S104,8,2216.9,1.0399999999999636,1,0,0,0,2216.9,2216.9,5,0,16,21,3.2600000000002183,0.0
P498,S104,8,2218.71,1.8099999999999454,1,0,0,0,2218.71,2218.71,6,0,17,21,5.070000000000164,0.0
P498,S104,8,2219.11,0.40000000000009095,1,0,0,0,2219.11,2219.11,7,0,18,21,5.470000000000255,0.0
P498,S104,8,2220.38,1.2699999999999818,0,1,0,0,2220.38,2220.38,0,0,18,22,0.0,0.0
P498,S104,8,2220.76,0.38000000000010914,0,1,0,0,2220.76,2220.76,0,1,18,23,0.0,0.38000000000010914
P498,S104,8,2221.19,0.4299999999998363,0,1,0,0,2221.19,2221.19,0,2,18,24,0.0,0.8099999999999454
P498,S104,8,2221.56,0.36999999999989086,0,1,0,0,2221.56,2221.56,0,3,18,25,0.0,1.1799999999998363
P498,S104,8,2221.94,0.38000000000010914,0,1,0,0,2221.94,2221.94,0,4,18,26,0.0,1.5599999999999454
P498,S104,8,2222.29,0.34999999999990905,0,1,0,0,2222.29,2222.29,0,5,18,27,0.0,1.9099999999998545
P498,S104,8,2223.05,0.7600000000002183,0,1,0,0,2223.05,2223.05,0,6,18,28,0.0,2.6700000000000728
P498,S104,8,2223.76,0.7100000000000364,0,1,0,0,2223.76,2223.76,0,7,18,29,0.0,3.380000000000109
P498,S104,8,2224.15,0.38999999999987267,0,1,0,0,2224.15,2224.15,0,8,18,30,0.0,3.769999999999982
P498,S104,8,2225.53,1.3800000000001091,0,1,0,0,2225.53,2225.53,0,9,18,31,0.0,5.150000000000091
P498,S104,8,2225.9,0.36999999999989086,0,1,0,0,2225.9,2225.9,0,10,18,32,0.0,5.519999999999982
P498,S104,8,2226.32,0.42000000000007276,0,1,0,0,2226.32,2226.32,0,11,18,33,0.0,5.940000000000055
